,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16
1849,26/05/2004,19.00.00,-200,1130.0,-200.0,"22,7",1368.0,-200.0,933.0,-200.0,1709.0,1269.0,"26,7","19,5","0,6754",,
2533,24/06/2004,07.00.00,"1,2",1030.0,-200.0,"6,9",851.0,102.0,824.0,68.0,1700.0,983.0,"21,9","57,0","1,4742",,
3047,15/07/2004,17.00.00,"3,2",1164.0,-200.0,"20,3",1306.0,259.0,648.0,198.0,1886.0,1218.0,"35,5","19,1","1,0888",,
805,13/04/2004,07.00.00,"3,9",1496.0,524.0,"19,1",1272.0,328.0,667.0,130.0,2011.0,1399.0,"11,0","64,2","0,8398",,
2962,12/07/2004,04.00.00,-200,780.0,-200.0,"1,8",568.0,24.0,1200.0,34.0,1331.0,501.0,"19,9","51,3","1,1803",,
561,03/04/2004,03.00.00,"0,9",1042.0,66.0,"3,8",697.0,-200.0,1056.0,-200.0,1410.0,965.0,"15,1","57,6","0,9796",,
1423,09/05/2004,01.00.00,-200,1068.0,-200.0,"9,0",938.0,-200.0,862.0,-200.0,1575.0,1057.0,"12,7","64,9","0,9506",,
1910,29/05/2004,08.00.00,"0,6",843.0,-200.0,"4,0",712.0,77.0,1303.0,77.0,1343.0,548.0,"18,9","42,1","0,9081",,
489,31/03/2004,03.00.00,"0,5",832.0,22.0,"1,0",496.0,-200.0,1613.0,-200.0,1066.0,381.0,"14,2","36,1","0,5823",,
3048,15/07/2004,18.00.00,"3,6",1124.0,-200.0,"20,5",1309.0,236.0,655.0,183.0,1845.0,1170.0,"33,7","20,0","1,0275",,
1938,30/05/2004,12.00.00,"0,3",832.0,-200.0,"4,2",719.0,52.0,1318.0,59.0,1299.0,502.0,"28,7","20,7","0,8024",,
2012,02/06/2004,14.00.00,-200,887.0,-200.0,"4,8",754.0,32.0,1164.0,30.0,1523.0,560.0,"30,9","30,7","1,3493",,
3881,19/08/2004,11.00.00,"1,1",1011.0,-200.0,"6,1",816.0,33.0,830.0,35.0,1614.0,680.0,"36,9","30,9","1,8934",,
2581,26/06/2004,07.00.00,"1,8",1037.0,-200.0,"10,4",993.0,168.0,779.0,104.0,1680.0,1158.0,"19,7","44,1","1,0039",,
646,06/04/2004,16.00.00,"1,9",1143.0,226.0,"10,3",988.0,109.0,849.0,98.0,1590.0,710.0,"18,8","36,8","0,7883",,
868,15/04/2004,22.00.00,"2,5",1277.0,203.0,"9,3",952.0,144.0,802.0,111.0,1607.0,1284.0,"14,9","59,1","0,9928",,
